CycleCount,AxialDisplacement_mm,AxialForce_N,strain,stress_MPa,stress_MPa_mag
5,0.0037193299249338,0.55585116147995,-6.198883208223e-05,0.00015440310041109722,-0.00015440310041109722
5,0.00801682472229,-0.355023086071014,-0.0001336137453715,-9.8617523908615e-05,9.8617523908615e-05
5,-0.145250553032383,0.964949131011963,0.0024208425505397166,0.0002680414252811008,-0.0002680414252811008
5,-0.311088573653251,2.03860974311829,0.005184809560887516,0.000566280484199525,-0.000566280484199525
5,-0.480592250823975,-0.686175167560577,0.00800987084706625,-0.00019060421321127137,0.00019060421321127137
5,-0.648152839858085,-1.58166217803955,0.010802547330968084,-0.0004393506050109861,0.0004393506050109861
5,-0.813752412796021,-0.171750441193581,0.013562540213267017,-4.770845588710583e-05,4.770845588710583e-05
5,-0.982397818006575,0.597551107406616,0.01637329696677625,0.00016598641872406,-0.00016598641872406
5,-1.14989874418825,2.83980917930603,0.019164979069804168,0.0007888358831405638,-0.0007888358831405638
5,-1.31678581237793,2.79217767715454,0.02194643020629883,0.0007756049103207056,-0.0007756049103207056
5,-1.48395891301334,0.716777861118317,0.024732648550222332,0.0001991049614217547,-0.0001991049614217547
5,-1.65247323457152,-0.722287237644196,0.027541220576192002,-0.00020063534379005445,0.00020063534379005445
5,-1.82083842810243,-1.35383749008179,0.0303473071350405,-0.0003760659694671639,0.0003760659694671639
5,-1.98587169870734,-2.81054258346558,0.03309786164512233,-0.0007807062731848834,0.0007807062731848834
5,-2.15354561805725,2.34089970588684,0.035892426967620836,0.0006502499183019,-0.0006502499183019
5,-2.32150545343757,-1.24826323986053,0.03869175755729283,-0.00034673978885014725,0.00034673978885014725
5,-2.488809870556,-5.4733681678772,0.041480164509266663,-0.0015203800466325555,0.0015203800466325555
5,-2.65516643412411,-3.19574904441833,0.0442527739020685,-0.0008877080678939806,0.0008877080678939806
5,-2.82284617424011,-5.00237512588501,0.04704743623733517,-0.0013895486460791693,0.0013895486460791693
5,-2.99078831449151,-1.29616820812225,0.04984647190819183,-0.0003600467244784028,0.0003600467244784028
5,-3.15730576403439,1.99177587032318,0.0526217627339065,0.0005532710750897722,-0.0005532710750897722
5,-3.32428817637265,0.793320953845978,0.05540480293954417,0.00022036693162388277,-0.00022036693162388277
5,-3.4916817676276,-2.08179426193237,0.05819469612712667,-0.0005782761838701028,0.0005782761838701028
5,-3.66021390073001,-0.367671608924866,0.06100356501216683,-0.00010213100247912944,0.00010213100247912944
5,-3.82702937349677,-6.2404522895813,0.06378382289161283,-0.0017334589693281388,0.0017334589693281388
5,-3.99442901834846,-6.2513575553894,0.06657381697247433,-0.0017364882098303887,0.0017364882098303887
5,-4.16085170581937,-1.99657511711121,0.06934752843032284,-0.0005546041991975584,0.0005546041991975584
5,-4.32850746437907,0.147451639175415,0.0721417910729845,4.0958788659837506e-05,-4.0958788659837506e-05
5,-4.49497718364,5.8696551322937,0.074916286394,0.0016304597589704723,-0.0016304597589704723
5,-4.6611069701612,-2.23008680343628,0.07768511616935332,-0.0006194685565100778,0.0006194685565100778
5,-4.8298598267138,-0.93706476688385,0.08049766377856334,-0.0002602957685788472,0.0002602957685788472
5,-4.99663362279534,-4.31737327575684,0.08327722704658899,-0.0011992703543769001,0.0011992703543769001
5,-5.16287703067064,-3.62590074539185,0.08604795051117733,-0.001007194651497736,0.001007194651497736
5,-5.33055048435926,-1.12937128543854,0.08884250807265433,-0.00031371424595515,0.00031371424595515
5,-5.49806375056505,-0.812273383140564,0.09163439584275083,-0.00022563149531682332,0.00022563149531682332
5,-5.66573720425367,-5.25829648971558,0.09442895340422783,-0.0014606379138098833,0.0014606379138098833
5,-5.83231449127197,-8.19131374359131,0.0972052415211995,-0.002275364928775364,0.002275364928775364
5,-5.99934486672282,-18.2816886901855,0.099989081112047,-0.005078246858384861,0.005078246858384861
5,-6.16654800251126,-32.7684173583984,0.10277580004185434,-0.009102338155110667,0.009102338155110667
5,-6.33332179859281,-43.7209014892578,0.10555536330988018,-0.012144694858127166,0.012144694858127166
5,-6.50055427104235,-51.8300018310547,0.10834257118403916,-0.014397222730848529,0.014397222730848529
5,-6.66720885783434,-60.4185104370117,0.11112014763057233,-0.016782919565836583,0.016782919565836583
5,-6.83497823774815,-71.728271484375,0.11391630396246916,-0.019924519856770833,0.019924519856770833
5,-7.00119743123651,-82.2382049560547,0.11668662385394184,-0.022843945821126307,0.022843945821126307
5,-7.16800708323717,-91.3829650878906,0.1194667847206195,-0.0253841569688585,0.0253841569688585
5,-7.33718322589993,-102.725341796875,0.12228638709833217,-0.02853481716579861,0.02853481716579861
5,-7.50291906297207,-111.433921813965,0.1250486510495345,-0.030953867170545834,0.030953867170545834
5,-7.67014315351844,-117.754707336426,0.12783571922530734,-0.032709640926785,0.032709640926785
5,-7.83660169690847,-124.60179901123,0.13061002828180784,-0.034611610836452776,0.034611610836452776
5,-8.00457876175642,-130.505584716797,0.13340964602927366,-0.03625155131022138,0.03625155131022138
5,-8.17080680280924,-141.386581420898,0.136180113380154,-0.039274050394693893,0.039274050394693893
5,-8.33886489272118,-150.304092407227,0.138981081545353,-0.04175113677978527,0.04175113677978527
5,-8.5065420717001,-156.301528930664,0.14177570119500166,-0.04341709136962889,0.04341709136962889
5,-8.67240689694881,-163.481460571289,0.14454011494914684,-0.04541151682535806,0.04541151682535806
5,-8.83894506841898,-171.169342041016,0.14731575114031634,-0.047547039455837777,0.047547039455837777
5,-9.00670886039734,-175.507217407227,0.15011181433995568,-0.04875200483534083,0.04875200483534083
5,-9.17320232838392,-182.921356201172,0.15288670547306535,-0.05081148783365889,0.05081148783365889
5,-9.33976750820875,-190.002960205078,0.15566279180347917,-0.052778600056966114,0.052778600056966114
5,-9.50736459344625,-198.702789306641,0.1584560765574375,-0.05519521925184472,0.05519521925184472
5,-9.67525318264961,-200.309020996094,0.16125421971082685,-0.05564139472113722,0.05564139472113722
5,-9.84168332070112,-208.225952148438,0.1640280553450187,-0.057840542263455,0.057840542263455
5,-10.008848272264,-214.884765625,0.16681413787106666,-0.05969021267361111,0.05969021267361111
5,-10.1759219542146,-218.494934082031,0.16959869923690998,-0.06069303724500861,0.06069303724500861
5,-10.3429136797786,-225.303527832031,0.17238189466297668,-0.06258431328667527,0.06258431328667527
5,-10.5099976062775,-229.502624511719,0.17516662677129166,-0.06375072903103306,0.06375072903103306
5,-10.6768310070038,-236.264556884766,0.17794718345006333,-0.06562904357910167,0.06562904357910167
5,-10.844549164176,-244.381225585938,0.1807424860696,-0.06788367377387167,0.06788367377387167
5,-11.0103813931346,-247.13346862793,0.18350635655224332,-0.06864818572998055,0.06864818572998055
5,-11.1788036301732,-249.240493774414,0.18631339383621998,-0.06923347049289277,0.06923347049289277
5,-11.3453445956111,-253.478469848633,0.18908907659351834,-0.07041068606906473,0.07041068606906473
5,-11.5102026611567,-261.755310058594,0.19183671101927835,-0.07270980834960944,0.07270980834960944
5,-11.6778342053294,-267.088317871094,0.19463057008882334,-0.07419119940863722,0.07419119940863722
5,-11.845457367599,-273.616607666016,0.19742428945998333,-0.07600461324056,0.07600461324056
5,-12.0125534012914,-276.981201171875,0.20020922335485666,-0.07693922254774306,0.07693922254774306
5,-12.1796717867255,-280.586242675781,0.20299452977875834,-0.07794062296549473,0.07794062296549473
5,-12.3460292816162,-285.993347167969,0.20576715469360335,-0.07944259643554694,0.07944259643554694
5,-12.5140426680446,-286.643371582031,0.20856737780074336,-0.07962315877278639,0.07962315877278639
5,-12.6807391643524,-294.578826904297,0.21134565273920666,-0.08182745191786027,0.08182745191786027
5,-12.8467231988907,-302.1171875,0.214112053314845,-0.08392144097222222,0.08392144097222222
5,-13.0147635936737,-306.994110107422,0.21691272656122834,-0.0852761416965061,0.0852761416965061
5,-13.1809050217271,-308.318176269531,0.21968175036211832,-0.08564393785264751,0.08564393785264751
5,-13.3479982614517,-310.625213623047,0.22246663769086167,-0.0862847815619575,0.0862847815619575
5,-13.5143781080842,-316.090484619141,0.22523963513473666,-0.08780291239420585,0.08780291239420585
5,-13.682221993804,-318.271392822266,0.22803703323006666,-0.08840872022840723,0.08840872022840723
5,-13.8478167355061,-325.077484130859,0.23079694559176833,-0.09029930114746083,0.09029930114746083
5,-14.0155768021941,-327.508605957031,0.23359294670323502,-0.09097461276584196,0.09097461276584196
5,-14.1824157908559,-334.908050537109,0.236373596514265,-0.09303001403808582,0.09303001403808582
5,-14.3502205610275,-335.144287109375,0.23917034268379167,-0.09309563530815972,0.09309563530815972
5,-14.5164877176285,-341.066497802734,0.241941461960475,-0.09474069383409277,0.09474069383409277
5,-14.682799577713,-343.779693603516,0.24471332629521667,-0.09549435933431001,0.09549435933431001
5,-14.8493712767959,-349.335601806641,0.24748952127993165,-0.0970376671685114,0.0970376671685114
5,-15.0171602144837,-351.397521972656,0.25028600357472836,-0.09761042277018223,0.09761042277018223
5,-15.1852695271373,-358.148498535156,0.25308782545228836,-0.09948569403754334,0.09948569403754334
5,-15.3520051389933,-362.345977783203,0.25586675231655504,-0.10065166049533417,0.10065166049533417
5,-15.5176222324371,-362.710174560547,0.258627037207285,-0.10075282626681861,0.10075282626681861
5,-15.6832244247198,-368.986755371094,0.26138707374533,-0.10249632093641499,0.10249632093641499
